#{"t_start": 1701509713.808813, "env_id": "PandaReach-v3"}
r,l,t
-50.0,50,1.073473
-1.0,2,1.07829
-50.0,50,1.206851
-50.0,50,1.328845
-50.0,50,1.448177
-50.0,50,1.565574
-50.0,50,1.687797
-50.0,50,1.808378
-50.0,50,1.933849
-50.0,50,2.049536
-18.0,19,2.092889
-50.0,50,2.500247
-50.0,50,2.622991
-50.0,50,2.747694
-50.0,50,2.864548
-50.0,50,2.986805
-50.0,50,3.110076
-50.0,50,3.233215
-50.0,50,3.350523
-50.0,50,3.474123
-6.0,7,3.489733
-50.0,50,3.607027
-50.0,50,4.015928
-50.0,50,4.147733
-50.0,50,4.282842
0.0,1,4.285522
-50.0,50,4.413072
-6.0,7,4.43116
-50.0,50,4.555089
-50.0,50,4.675203
-50.0,50,4.800615
0.0,1,4.803613
-27.0,28,4.875597
-50.0,50,4.998384
-50.0,50,5.12492
-50.0,50,5.249771
-50.0,50,5.659709
-5.0,6,5.67408
-50.0,50,5.805318
-50.0,50,5.927177
-50.0,50,6.047006
-5.0,6,6.061382
-50.0,50,6.187909
-45.0,46,6.302495
-50.0,50,6.424733
-50.0,50,6.543539
-50.0,50,6.665816
-50.0,50,6.785588
-50.0,50,7.191156
-50.0,50,7.315041
-3.0,4,7.324283
-9.0,10,7.347136
-50.0,50,7.468837
-50.0,50,7.599885
-7.0,8,7.62118
-50.0,50,7.746964
-18.0,19,7.792855
-3.0,4,7.802292
-50.0,50,7.931797
-5.0,6,7.945013
-50.0,50,8.071346
-50.0,50,8.193326
-50.0,50,8.320701
-50.0,50,8.725738
-50.0,50,8.852777
-35.0,36,8.936575
-50.0,50,9.065188
-50.0,50,9.198805
0.0,1,9.203645
-50.0,50,9.324
-50.0,50,9.448233
-50.0,50,9.570164
-50.0,50,9.699457
-50.0,50,9.820542
-50.0,50,9.944666
-50.0,50,10.35197
-10.0,11,10.378724
-50.0,50,10.50597
-50.0,50,10.6299
-50.0,50,10.74568
-50.0,50,10.87398
-50.0,50,10.998516
-50.0,50,11.128208
-50.0,50,11.253155
-50.0,50,11.384685
-50.0,50,11.515002
-50.0,50,11.92107
-30.0,31,11.996298
-50.0,50,12.118221
-24.0,25,12.179197
-50.0,50,12.307366
-5.0,6,12.323018
-50.0,50,12.449575
-36.0,37,12.533632
-50.0,50,12.655589
-30.0,31,12.728458
-50.0,50,12.852031
-2.0,3,12.859938
-16.0,17,12.901366
-50.0,50,13.025292
-50.0,50,13.436877
-50.0,50,13.560117
-50.0,50,13.688712
-50.0,50,13.816987
-50.0,50,13.946167
-17.0,18,13.990154
-50.0,50,14.112847
-50.0,50,14.231291
-50.0,50,14.367264
-50.0,50,14.498549
-50.0,50,14.623797
-1.0,2,14.629044
-17.0,18,14.956274
-50.0,50,15.083956
-1.0,2,15.091123
-4.0,5,15.101946
-50.0,50,15.231349
-50.0,50,15.359729
-50.0,50,15.479782
-5.0,6,15.495926
-6.0,7,15.510978
-50.0,50,15.634227
-50.0,50,15.762429
-50.0,50,15.886693
-50.0,50,16.010027
-50.0,50,16.131953
-50.0,50,16.545329
-50.0,50,16.668773
-50.0,50,16.79143
-50.0,50,16.907978
-50.0,50,17.030769
-50.0,50,17.143836
-50.0,50,17.269195
-50.0,50,17.393115
-3.0,4,17.404623
-50.0,50,17.527391
-50.0,50,17.653191
-50.0,50,18.062526
-50.0,50,18.185421
-1.0,2,18.190465
-50.0,50,18.308529
-50.0,50,18.430859
-50.0,50,18.549536
-50.0,50,18.668221
-50.0,50,18.794931
-50.0,50,18.922803
-50.0,50,19.052601
-50.0,50,19.180229
-50.0,50,19.306051
-50.0,50,19.738879
-50.0,50,19.864719
-50.0,50,19.996294
-50.0,50,20.121717
-13.0,14,20.156361
-50.0,50,20.274486
-50.0,50,20.403823
-50.0,50,20.544741
-50.0,50,20.666868
-50.0,50,20.78883
-50.0,50,20.907463
-50.0,50,21.31418
-50.0,50,21.449323
-50.0,50,21.567933
-50.0,50,21.692743
-50.0,50,21.817971
-32.0,33,21.89543
-50.0,50,22.020159
-50.0,50,22.137861
-50.0,50,22.260354
-50.0,50,22.385587
-50.0,50,22.790428
-2.0,3,22.797258
-1.0,2,22.801792
-50.0,50,22.920719
-50.0,50,23.052155
-50.0,50,23.173326
-50.0,50,23.297132
-50.0,50,23.421083
-50.0,50,23.541924
-50.0,50,23.658921
-6.0,7,23.676463
-50.0,50,23.794928
-50.0,50,23.920416
-17.0,18,23.968641
-50.0,50,24.376948
-45.0,46,24.491599
-50.0,50,24.618521
-50.0,50,24.737644
-50.0,50,24.860418
-50.0,50,24.985884
-50.0,50,25.107653
-4.0,5,25.11937
-50.0,50,25.242522
-50.0,50,25.36445
-50.0,50,25.484838
-50.0,50,25.893992
-50.0,50,26.018398
-50.0,50,26.149866
-50.0,50,26.271651
-50.0,50,26.399703
-50.0,50,26.528617
-50.0,50,26.662998
-50.0,50,26.784626
-50.0,50,26.897507
-50.0,50,27.026979
-50.0,50,27.434412
-6.0,7,27.453275
-50.0,50,27.572944
-50.0,50,27.690825
-50.0,50,27.814357
-28.0,29,27.886718
-50.0,50,28.008863
-50.0,50,28.132558
-50.0,50,28.25247
-50.0,50,28.376134
-43.0,44,28.486364
-50.0,50,28.602273
-1.0,2,28.60754
-50.0,50,29.014124
-50.0,50,29.13498
-1.0,2,29.139915
-50.0,50,29.260345
-50.0,50,29.384481
-50.0,50,29.511877
-25.0,26,29.577041
-50.0,50,29.698734
-33.0,34,29.784536
-50.0,50,29.905051
-50.0,50,30.02554
-50.0,50,30.149573
-50.0,50,30.553338
-50.0,50,30.681077
-50.0,50,30.802886
-50.0,50,30.922213
-50.0,50,31.041814
-8.0,9,31.064116
-50.0,50,31.188495
-50.0,50,31.311698
-50.0,50,31.431519
-50.0,50,31.554196
-50.0,50,31.675042
-2.0,3,31.68186
-50.0,50,32.094336
0.0,1,32.097076
-50.0,50,32.220653
-8.0,9,32.242253
-50.0,50,32.368589
-50.0,50,32.494876
-50.0,50,32.613923
-50.0,50,32.734398
-50.0,50,32.857863
-50.0,50,32.986876
-50.0,50,33.107139
-50.0,50,33.232656
-50.0,50,33.638209
-50.0,50,33.76915
-50.0,50,33.895205
-50.0,50,34.021038
-50.0,50,34.141869
-50.0,50,34.267693
-50.0,50,34.390421
-50.0,50,34.523047
-50.0,50,34.646696
-50.0,50,34.770021
-50.0,50,35.177899
-50.0,50,35.302141
-50.0,50,35.432054
-50.0,50,35.557654
-50.0,50,35.677361
-50.0,50,35.803046
-4.0,5,35.814636
-50.0,50,35.935682
-50.0,50,36.065274
-11.0,12,36.096026
-50.0,50,36.219551
-4.0,5,36.232752
-50.0,50,36.351237
-50.0,50,36.751401
-50.0,50,36.884801
-50.0,50,37.004019
-2.0,3,37.011727
-50.0,50,37.136508
-50.0,50,37.259001
-50.0,50,37.383703
-5.0,6,37.399724
-50.0,50,37.524315
-50.0,50,37.65761
-50.0,50,37.784974
-7.0,8,37.803726
-50.0,50,37.92883
-2.0,3,37.935919
-50.0,50,38.339732
-50.0,50,38.463917
-50.0,50,38.585519
-50.0,50,38.709947
-50.0,50,38.83457
-48.0,49,38.964073
-50.0,50,39.083163
-50.0,50,39.205034
-50.0,50,39.336498
-3.0,4,39.345978
-50.0,50,39.468662
-50.0,50,39.880523
-50.0,50,40.015817
-50.0,50,40.150764
-50.0,50,40.278774
-50.0,50,40.408634
-2.0,3,40.415612
-50.0,50,40.539944
-50.0,50,40.666116
-50.0,50,40.795051
-50.0,50,40.926597
-50.0,50,41.051423
-50.0,50,41.471713
-50.0,50,41.609022
-50.0,50,41.734777
-50.0,50,41.854977
-50.0,50,41.976637
-50.0,50,42.104995
-50.0,50,42.225604
-50.0,50,42.348083
-50.0,50,42.471197
-50.0,50,42.596754
-50.0,50,43.007085
-50.0,50,43.124645
-50.0,50,43.251132
-50.0,50,43.366942
-50.0,50,43.494663
-50.0,50,43.618721
-50.0,50,43.74475
-33.0,34,43.834406
-50.0,50,43.955267
-50.0,50,44.078414
-50.0,50,44.210128
0.0,1,44.212831
-50.0,50,44.627188
-50.0,50,44.745626
-50.0,50,44.868103
-50.0,50,44.987241
-50.0,50,45.112114
-50.0,50,45.23331
-50.0,50,45.353348
-50.0,50,45.466364
-50.0,50,45.594548
-50.0,50,45.717423
-1.0,2,45.722415
-22.0,23,45.783833
-50.0,50,46.197933
-50.0,50,46.323382
-50.0,50,46.451286
-50.0,50,46.585573
-50.0,50,46.717102
-50.0,50,46.84321
-50.0,50,46.974286
-50.0,50,47.111304
-50.0,50,47.242336
-50.0,50,47.367274
-50.0,50,47.781005
-50.0,50,47.902462
-4.0,5,47.916603
-50.0,50,48.035916
-50.0,50,48.158923
-50.0,50,48.275981
-50.0,50,48.395954
-1.0,2,48.400638
-50.0,50,48.520277
-50.0,50,48.648413
-29.0,30,48.721379
-50.0,50,48.840087
-50.0,50,49.255756
-50.0,50,49.380161
-50.0,50,49.500831
-2.0,3,49.507878
-50.0,50,49.636472
-50.0,50,49.757507
-50.0,50,49.885925
-50.0,50,50.014297
-50.0,50,50.144686
-50.0,50,50.270726
-50.0,50,50.400027
-50.0,50,50.526509
-50.0,50,50.93411
-50.0,50,51.055936
-50.0,50,51.180114
-50.0,50,51.298465
-17.0,18,51.347088
-50.0,50,51.471403
-50.0,50,51.592377
-50.0,50,51.720729
-50.0,50,51.844332
-50.0,50,51.970245
-50.0,50,52.088735
-50.0,50,52.505871
-1.0,2,52.511541
0.0,1,52.514015
-50.0,50,52.638441
-50.0,50,52.769155
-50.0,50,52.886691
