#{"t_start": 1701518724.9564555, "env_id": "PandaReachDense-v3"}
r,l,t
-12.41041,50,1.253318
-11.221359,50,1.432127
-9.733708,50,1.604269
-14.16948,50,1.805399
-10.857932,50,1.998964
-7.151507,50,2.169135
-10.339463,50,2.329509
-13.046245,50,2.492449
-16.154711,50,2.65161
-0.046814,1,2.656363
-16.601852,50,2.821761
-16.824334,50,3.366373
-13.069766,50,3.545732
-15.31847,50,3.716593
-17.791682,50,3.896827
-14.721964,50,4.085984
-8.326173,50,4.266168
-10.500867,50,4.440777
-12.14865,50,4.595719
-13.68729,50,4.752832
-16.145815,50,4.902339
-10.74889,50,5.486721
-12.856962,50,5.6428
-8.471233,50,5.812609
-17.571593,50,5.99861
-16.06999,50,6.168402
-0.74182,7,6.18785
-14.587164,50,6.338534
-12.655445,50,6.508865
-9.694283,50,6.666819
-13.899232,50,6.849846
-14.00258,50,7.018282
-1.414528,11,7.050894
-11.385143,50,7.60628
-11.854288,50,7.774014
-9.198977,50,7.960471
-12.26865,50,8.15447
-8.707221,50,8.331684
-11.830882,50,8.480578
-8.698656,50,8.651676
-9.499445,50,8.801436
-18.908115,50,8.955773
-13.361896,50,9.103231
-12.534712,50,9.617507
-19.890948,50,9.776459
-0.439011,6,9.812116
-13.116522,50,9.980916
-16.129257,50,10.170952
-15.382993,50,10.344561
-15.872695,50,10.49949
-12.460412,50,10.660045
-16.697801,50,10.820569
-19.418144,50,10.986162
-0.72843,7,11.013098
-9.626941,50,11.17357
-0.307614,4,11.184291
-9.599757,50,11.711909
-13.520698,50,11.861718
-0.181434,3,11.873724
-0.038985,1,11.878572
-15.738645,50,12.04995
-6.567049,50,12.233305
-19.183203,50,12.39415
-15.76654,50,12.537319
-0.934944,9,12.56525
-10.125906,50,12.716062
-15.217439,50,12.885091
-11.009956,50,13.031579
-13.84612,50,13.190511
-8.401192,50,13.708244
-0.101742,2,13.718164
-10.30804,50,13.883335
-16.776158,50,14.0488
-9.09327,50,14.224409
-1.002613,11,14.262579
-14.130852,50,14.435793
-9.528174,50,14.594886
-11.713406,50,14.753566
-11.002265,50,14.936134
-11.888709,50,15.109622
-10.485414,50,15.283676
-16.160543,50,15.889406
-6.895226,50,16.056568
-3.570832,24,16.141223
-9.54467,50,16.332743
-8.779232,50,16.512939
-11.415949,50,16.674381
-13.747377,50,16.83266
-12.617809,50,17.006253
-10.077248,50,17.161391
-8.552017,50,17.326708
-13.590793,50,17.492722
-6.928966,50,18.040006
-8.051811,50,18.209252
-8.748592,50,18.395197
-7.273009,43,18.567256
-9.202887,50,18.736108
-12.129402,50,18.895679
-3.283935,26,18.984281
-7.7017,50,19.138097
-9.355354,50,19.296848
-11.954942,50,19.461275
-10.314473,50,19.623489
-7.365555,50,20.146482
-8.785422,50,20.35594
-14.746,50,20.566049
-12.931048,50,20.74413
-11.906144,50,20.901869
-12.088386,50,21.063993
-10.927043,50,21.2174
-14.600396,50,21.37464
-10.13386,50,21.528728
-15.133092,50,21.686595
-8.363462,50,22.215571
-12.258916,50,22.393043
-11.865546,50,22.575714
-0.727133,10,22.608851
-0.094582,2,22.615252
-15.406288,50,22.775282
-1.983003,20,22.84502
-10.569955,50,23.000022
-9.967204,50,23.163969
-4.996242,34,23.287971
-5.961286,34,23.402466
-13.108595,50,23.566074
-13.39002,50,23.741513
-11.815534,50,24.297042
-17.727692,50,24.482487
-11.876417,50,24.660407
-10.203234,50,24.81886
-0.718254,7,24.835777
-14.353043,50,24.9835
-12.11758,50,25.134357
-8.450315,50,25.294166
-9.307124,50,25.444303
-10.569861,50,25.596213
-12.312426,50,25.742842
-10.378814,50,26.254951
-14.450743,50,26.437723
-7.176107,50,26.626119
-2.36488,21,26.693341
-8.562664,50,26.859656
-3.714884,30,26.963458
-10.19022,50,27.119468
-10.222049,50,27.282405
-0.602082,6,27.298021
-11.730083,50,27.476058
-13.0066,50,27.63267
-15.380175,50,27.790629
-8.926413,50,28.339621
-0.336873,5,28.357396
-2.687761,22,28.437493
-8.118455,50,28.624083
-9.871218,50,28.799131
-9.072754,50,28.960855
-4.25524,30,29.046516
-10.612307,50,29.208328
-7.986238,50,29.351648
-2.028425,16,29.401944
-8.714547,50,29.555053
-9.701163,50,29.708345
-9.466666,50,29.855995
-1.31822,10,29.884697
-4.753533,40,30.399259
-12.173882,50,30.592527
-14.746642,50,30.75882
-6.596891,50,30.925462
-1.384644,10,30.953155
-10.612927,50,31.113033
-0.682347,6,31.128363
-10.383837,50,31.29274
-9.198857,50,31.447226
-2.745682,24,31.522823
-13.038686,50,31.676319
-10.956539,50,31.823384
-7.644075,50,32.37855
-4.076542,33,32.499169
-12.441776,50,32.686556
-3.157505,18,32.756058
-7.446943,50,32.916588
-4.104063,34,33.029326
-10.802371,50,33.189558
-9.668011,50,33.352015
-10.498116,50,33.497545
-8.623602,50,33.652605
-9.248931,50,33.807485
-8.927086,50,33.956877
-4.376541,30,34.415097
-0.893574,9,34.453794
-12.923332,50,34.630498
-9.514993,50,34.809559
-8.465401,50,34.949387
-12.326586,50,35.10779
-8.563485,50,35.257074
-9.451929,50,35.427918
-10.734037,50,35.569539
-0.208701,3,35.578303
-9.154654,50,35.724555
-11.073647,50,35.888276
-13.155105,50,36.435655
-1.020103,9,36.465827
-10.857851,50,36.651274
-12.511497,50,36.816586
-2.118179,20,36.881638
-6.912839,50,37.036614
-6.557916,50,37.202399
-8.690258,50,37.376549
-11.423486,50,37.527482
-0.102693,2,37.533845
-10.259721,50,37.696931
-0.564955,5,37.712581
-5.880169,50,37.885718
-8.870708,50,38.045152
-10.434189,50,38.636878
-3.19391,21,38.710344
-4.738215,34,38.831214
-3.883639,33,38.944029
-4.837492,35,39.059907
-0.536305,6,39.077945
-11.300592,50,39.24066
-10.364254,50,39.400958
-3.028569,24,39.478044
-7.637326,50,39.64815
-10.028999,50,39.808168
-5.633574,41,39.932857
-8.368369,50,40.101333
-6.998636,50,40.697235
