#{"t_start": 1701518791.9252617, "env_id": "PandaReachJointsDense-v3"}
r,l,t
-15.88183,50,1.342791
-9.486368,50,1.529178
-19.645516,50,1.745704
-8.853099,50,1.938517
-5.918692,50,2.112742
-7.286544,50,2.306858
-18.622565,50,2.511661
-10.117544,50,2.685565
-0.40704,5,2.707755
-13.854165,50,2.870502
-8.901208,50,3.068631
-10.289738,50,3.657388
-11.050768,50,3.82353
-5.406735,39,3.996315
-11.963295,50,4.205704
-0.859918,9,4.240823
-12.659295,50,4.421254
-9.428313,50,4.613159
-0.700029,6,4.638578
-15.799861,50,4.8286
-9.912771,50,5.00997
-8.452613,50,5.167538
-14.334854,50,5.341752
-7.997128,50,5.952509
-10.582745,50,6.116027
-10.431703,50,6.302826
-14.442426,50,6.486676
-8.267155,50,6.672834
-14.012738,50,6.854968
-0.175285,3,6.864824
-11.379145,50,7.048956
-10.9411,50,7.225689
-9.67247,50,7.408208
-11.679169,50,7.586895
-0.033159,1,7.591648
-0.724555,8,7.62693
-11.52002,50,8.223147
-11.813912,50,8.416508
-10.32022,50,8.627157
-8.055557,50,8.835618
-12.867736,50,9.043501
-6.44268,50,9.255768
-6.148292,50,9.455473
-15.218482,50,9.642316
-6.948684,50,9.82664
-13.88524,50,9.986068
-13.996107,50,10.580304
-15.952686,50,10.773871
-9.577612,50,10.97842
-5.791699,50,11.201388
-12.777099,50,11.42981
-15.644416,50,11.622793
-11.304154,50,11.789622
-6.436819,50,11.962213
-4.987653,48,12.139848
-9.00483,50,12.293528
-0.866895,8,12.322325
-4.802671,50,12.916501
-0.790643,9,12.946647
-6.353033,50,13.123058
-9.90789,50,13.316069
-7.780292,50,13.530272
-11.145337,50,13.751292
-9.435586,50,13.944026
-0.374887,6,13.965126
-9.264302,50,14.135461
-1.320956,12,14.1741
-8.246324,50,14.343663
-12.448304,50,14.527839
-11.53254,50,14.697334
-8.489292,50,15.350339
-6.624514,50,15.538625
-11.259171,50,15.729985
-7.686769,50,15.934886
-3.49009,35,16.065915
-11.168381,50,16.262932
-8.844191,50,16.42409
-1.764369,12,16.460567
-3.121079,20,16.536461
-12.278765,50,16.709177
-8.944406,50,16.878645
-10.121501,50,17.05475
-7.755174,50,17.657963
-6.184819,46,17.81377
-11.375609,50,18.009895
-9.619478,50,18.217468
-0.963319,9,18.251111
-5.378045,50,18.444344
-11.611809,50,18.659438
-9.280492,50,18.856938
-10.399433,50,19.051899
-5.622478,46,19.202124
-8.381469,50,19.368791
-8.077911,50,19.993208
-8.271464,50,20.196485
-12.355963,50,20.420927
-11.506772,50,20.624429
-13.32757,50,20.829021
-6.347049,50,20.987214
-7.791982,50,21.153137
-9.383304,50,21.322589
-11.380038,50,21.496634
-8.358442,50,21.650203
-10.342302,50,22.214984
-12.430727,50,22.387217
-1.106375,10,22.423457
-10.417154,50,22.607977
-1.542706,13,22.669915
-12.334798,50,22.890317
-8.500399,50,23.101912
-5.074904,50,23.263052
-13.430435,50,23.455074
-8.328172,50,23.611701
-13.299809,50,23.79293
-1.884943,22,23.860399
-0.033772,1,23.863717
-11.144919,50,24.029124
-8.445753,50,24.670964
-6.404327,50,24.848301
-1.170585,12,24.898156
-1.953794,18,24.985881
-10.421571,50,25.221882
-10.522883,50,25.415284
-3.574806,32,25.540884
-9.18887,50,25.71353
-8.416773,50,25.876982
-8.750558,50,26.059173
-11.384003,50,26.239563
-6.918748,50,26.407412
-7.818213,50,27.070636
-10.308239,50,27.298866
-12.392219,50,27.516489
-10.203057,50,27.688288
-5.645778,50,27.864085
-7.906203,50,28.040568
-3.514098,22,28.108666
-0.826359,8,28.132331
-4.133015,24,28.219586
-8.950592,50,28.387863
-8.524523,50,28.549946
-6.447096,46,28.693172
-6.175259,50,29.324294
-0.381014,6,29.354012
-7.561286,50,29.580277
-7.114042,50,29.801717
-6.336003,49,29.981373
-5.627077,50,30.166414
-7.498516,50,30.360264
-2.356185,28,30.472938
-8.093133,50,30.673426
-7.733916,50,30.867909
-8.496565,50,31.051919
-2.49277,22,31.13317
-3.078264,25,31.679473
-2.317937,25,31.796228
-6.202856,50,32.008425
-3.823438,34,32.152002
-8.153332,50,32.320433
-8.071386,50,32.489535
-10.364198,50,32.675953
-11.567224,50,32.843235
-7.843953,50,33.005764
-6.162016,50,33.176728
-8.544002,50,33.344813
-3.793721,25,33.427477
-10.767569,50,34.067105
-6.756004,38,34.230251
-8.567886,50,34.433316
-6.441973,50,34.604994
-0.436625,6,34.630782
-8.281947,50,34.799014
-9.686856,50,34.97998
-8.200356,50,35.147626
-4.367065,28,35.240534
-6.001212,50,35.413271
-10.376906,50,35.62282
-7.02849,50,35.834485
-6.927763,50,36.550067
-0.839559,9,36.591829
-4.662903,47,36.784664
-3.772727,30,36.885819
-12.106254,50,37.057574
-8.247471,50,37.227288
-0.85094,8,37.253127
-7.577533,50,37.430383
-1.401516,12,37.478359
-13.559824,50,37.649582
-6.168332,50,37.828626
-2.071117,11,37.862953
-0.796622,7,37.884941
-6.643107,50,38.050308
-0.946944,12,38.100569
-1.023629,12,38.149703
-3.103371,27,38.243587
-1.989268,21,38.864719
-0.640298,9,38.908333
-9.772266,50,39.10275
-3.389521,28,39.201663
-5.171212,46,39.37762
-6.615694,50,39.561522
-0.025857,1,39.564834
-7.439669,50,39.732875
-5.184349,50,39.909506
-6.687014,50,40.107603
-7.587376,50,40.298919
-1.105461,9,40.345644
-6.283327,50,40.539805
-2.030171,21,40.610753
-6.683379,50,41.323261
-8.871636,50,41.512897
-4.725508,50,41.672641
-4.410064,38,41.795668
-6.336718,50,41.9774
-0.49608,6,41.99732
-7.318175,50,42.176853
-6.832369,50,42.34391
-0.356617,5,42.361015
-5.249005,50,42.522282
-1.395664,10,42.563629
-7.750909,50,42.729349
-9.966223,50,42.892093
-1.658262,20,42.959942
-12.413887,50,43.677035
-9.631506,50,43.862211
-10.952628,50,44.041131
-6.014944,50,44.198951
-5.397278,48,44.350892
-4.387422,50,44.542574
-1.060477,14,44.593461
-6.456236,50,44.797186
-10.348985,50,45.018685
-1.283781,12,45.059098
-5.934776,50,45.234719
-2.284001,21,45.310564
-5.507139,48,46.019165
-12.102832,50,46.197234
-8.027562,50,46.369486
-1.033129,9,46.398252
-7.248147,50,46.569937
-6.308365,50,46.740692
